mukey,pm_dom,comppct_dom,n_pm
616071,alluvium,80,1
616077,glacial till and material derived from metasedimentary rocks,40,1
616078,glacial till and material derived from metasedimentary rocks,40,1
616081,glacial till and material derived from metasedimentary rocks,45,1
616083,glacial till and material derived from metasedimentary rocks,45,1
616086,glacial till and material derived from metasedimentary rocks,45,1
616087,glacial till and material derived from metasedimentary rocks,45,1
616089,calcareous silty till,80,1
616093,calcareous silty till,80,1
616096,silty till,80,1
616098,silty till,80,1
616099,silty till,80,1
617058,till,80,1
617060,silty till,80,1
617061,silty till,80,1
617067,sandy till,80,1
617072,till,90,1
617075,till,90,1
617076,till,80,1
617077,outwash,85,1
617082,landslide deposits derived from metasedimentary rocks,45,2
617085,metasedimentary rocks,90,1
617086,till and metasedimentary rocks,90,1
617087,metasedimentary rocks,40,1
617088,till and metasedimentary rocks,45,1
617093,glacial drift or material derived from metasedimentary rocks,55,1
617095,material derived from metasedimentary rocks,40,1
617098,material derived from metasedimentary rocks,70,1
617099,material derived from metasedimentary rocks,50,1
618488,loamy alluvium,90,3
618788,loamy marine deposits,85,2
618806,colluvium over residuum weathered from siltstone,35,3
618866,loamy marine deposits,85,1
620172,marine deposits,95,1
620326,colluvium over residuum weathered from limestone and dolomite and/or sandstone,40,2
620331,till and/or colluvium derived from limestone and dolomite and/or sandstone,35,3
620333,colluvium over residuum weathered from conglomerate and/or sandstone and shale,50,1
620334,slope alluvium over residuum weathered from sedimentary rock,50,3
620335,mass movement deposits over residuum weathered from sandstone and shale,40,1
620336,colluvium over residuum weathered from sandstone and shale,35,2
620349,colluvium over residuum weathered from sedimentary rock,35,2
620352,colluvium over residuum weathered from limestone and sandstone,40,1
620354,till and/or colluvium over residuum weathered from volcanic rock,35,2
620356,till over residuum weathered from volcanic rock and/or conglomerate,40,1
620360,alluvium,50,1
620368,alluvium,40,1
620369,alluvium,35,1
620389,alluvium derived from sandstone and shale,50,1
620390,alluvium derived from sandstone and shale and/or mudflow deposits derived from sandstone and shale,80,1
620392,till derived from sandstone and shale and/or till derived from limestone and dolomite,40,1
620395,till derived from quartzite,45,1
620401,loess and/or till,60,1
620407,slope alluvium derived from sandstone and shale,50,1
620410,slope alluvium and/or colluvium derived from siltstone and/or sandstone and shale,45,1
620411,slope alluvium and/or colluvium derived from sandstone and shale and/or conglomerate,40,1
620412,till derived from sandstone and shale and/or till derived from conglomerate,45,1
620413,slope alluvium and/or colluvium derived from conglomerate and/or sandstone,80,1
620489,slope alluvium and/or colluvium derived from sandstone and shale,45,1
620514,slope alluvium and/or colluvium derived from sandstone and shale,55,1
620525,slope alluvium and/or colluvium derived from limestone and sandstone,50,1
620777,slope alluvium and/or colluvium derived from sandstone and shale,50,1
620778,"slope alluvium and/or colluvium derived from limestone, sandstone, and shale",35,1
620814,slope alluvium and/or colluvium derived from sandstone and shale and/or conglomerate,50,1
620895,residuum weathered from sandstone and shale,35,2
620896,slope alluvium and/or colluvium derived from sandstone,35,1
620917,"slope alluvium and/or colluvium derived from limestone, sandstone, and shale",40,1
620918,"slope alluvium and/or colluvium derived from limestone, sandstone, and shale",35,1
620920,"colluvium derived from limestone, sandstone, and shale",40,1
620921,"colluvium derived from limestone, sandstone, and shale",35,1
620924,slope alluvium and/or colluvium derived from conglomerate and/or sandstone,35,1
621152,loamy residuum weathered from interbedded sedimentary rock,45,3
621168,silty glaciolacustrine deposits,90,1
621169,mixed sandy and gravelly alluvium,90,1
621170,loamy till over dense basal till,75,2
621173,sandy and gravelly outwash,85,1
621177,silty glaciolacustrine deposits,60,2
621181,reworked by wind sandy and silty outwash,90,1
621197,Loess mixed with minor amounts of volcanic ash over residuum derived from granite,40,5
621203,weathered metasedimentary loamy slope alluvium,50,1
621204,residuum weathered from limestone and sandstone,35,2
621205,weathered metasedimentary loamy slope alluvium,80,1
621207,slope alluvium and/or colluvium derived from siltstone and/or sandstone and shale,50,1
621208,alpine loamy till over dense glaciofluvial deposits,90,1
621211,slope alluvium and/or colluvium derived from sandstone and shale and/or conglomerate,40,1
621222,alpine loamy till over dense glaciofluvial deposits,80,1
621241,slope alluvium and/or colluvium derived from sandstone and shale and/or siltstone and/or conglomerate,50,1
621242,slope alluvium and/or colluvium derived from sandstone and shale,45,1
621243,"slope alluvium and/or colluvium derived from limestone, sandstone, and shale",40,1
621315,alpine loamy till over residuum weathered from igneous and metamorphic rock,40,1
621318,clayey till over dense glaciofluvial deposits,100,1
621319,calcareous loamy till,90,1
621455,calcareous loamy till,90,1
621456,calcareous loamy till over dense basal till,80,1
621534,loamy till over dense basal till,75,1
621535,loamy till over dense basal till,75,1
621536,belt supergroup loamy till derived from metasedimentary rock,50,1
621538,loamy till over dense basal till,70,1
621540,belt supergroup loamy till derived from argillite,65,1
621758,mantle loamy till over residuum weathered from granite,90,1
621770,belt supergroup loamy till derived from metasedimentary rock,35,2
621820,loamy till over belt supergroup residuum weathered from metasedimentary rock,25,1
621821,belt supergroup loamy till derived from metasedimentary rock,100,1
621822,mixed loamy till,100,1
621823,mixed loamy till,90,1
621824,belt supergroup loamy till derived from metasedimentary rock,75,1
621826,mantle loamy till over belt supergroup residuum weathered from metasedimentary rock,50,2
621830,mantle loamy loess over metadiorite sandy and gravelly colluvium derived from granite,80,1
621832,mantle loamy loess over belt supergroup gravelly colluvium derived from metasedimentary rock,80,1
621833,silty loess derived from metavolcanics over belt supergroup loamy colluvium derived from argillite,75,1
621849,complex landslide deposits derived from sandstone and shale,45,1
621858,slope alluvium and/or colluvium derived from shale and siltstone,45,1
621859,slope alluvium and/or colluvium derived from sandstone and shale,35,1
621860,slope alluvium and/or colluvium derived from sandstone and shale,35,1
623876,colluvium derived from limestone and dolomite and/or conglomerate,60,2
623878,colluvium derived from limestone and dolomite and/or conglomerate and/or slope alluvium derived from conglomerate and/or limestone and dolomite,40,1
623879,colluvium derived from limestone and dolomite and/or conglomerate and/or slope alluvium derived from conglomerate and/or limestone and dolomite,45,1
623909,colluvium derived from limestone and dolomite and/or residuum weathered from limestone and dolomite,40,3
624979,colluvium derived from gneiss,40,3
625023,loess and/or silty alluvium over dense loamy till,84,3
625041,silty and loamy glaciofluvial deposits over sandy and gravelly outwash,80,3
625047,silty alluvium and/or loamy alluvium over dense sandy loam till,40,5
625066,loess and/or silty lacustrine deposits over dense sandy loam till,50,5
625090,Mostly loamy lacustrine deposits,85,4
625107,dense loamy till,88,2
625121,stratified sandy and loamy glaciofluvial and glaciolacustrine deposits,90,1
625148,herbaceous organic material more than 51 inches thick,50,4
625160,sandy outwash,75,1
625177,colluvium over residuum weathered from volcanic rock,70,1
625199,colluvium over residuum weathered from volcanic rock,50,1
625201,colluvium over residuum weathered from limestone,45,1
625209,colluvium derived from volcanic rock,80,1
625210,colluvium derived from volcanic rock,80,1
625211,colluvium derived from volcanic rock,80,1
625228,colluvium and/or slope alluvium over residuum weathered from volcanic rock,40,1
625229,colluvium derived from sedimentary rock,40,1
625252,colluvium derived from sedimentary rock,45,1
625253,colluvium and/or slope alluvium derived from volcanic rock,40,2
625264,colluvium derived from sedimentary rock,40,1
625270,colluvium over residuum weathered from quartzite,40,1
625274,colluvium derived from volcanic rock,45,1
625282,colluvium derived from volcanic rock,50,1
625286,complex landslide deposits over residuum weathered from volcanic and metamorphic rock,20,1
625340,loamy glaciofluvial deposits over stratified sandy and gravelly outwash,90,2
625356,sandy and loamy till,35,6
625380,loamy glaciofluvial deposits over stratified sandy and gravelly outwash,83,2
625381,loamy glaciofluvial deposits over stratified sandy and gravelly outwash,83,2
625389,sandy outwash,75,3
625395,herbaceous and woody organic material more than 51 inches thick,40,3
625397,woody organic material and/or herbaceous organic material,45,6
625400,sphagnum moss and herbaceous organic material more than 51 inches thick,45,2
625814,loamy till and/or loamy mudflow deposits,50,6
625820,loess and/or silty lacustrine deposits over dense sandy loam till,50,5
625821,loess and/or silty lacustrine deposits over dense sandy loam till,65,3
625841,loamy glaciofluvial deposits over stratified sandy and gravelly outwash,80,3
625871,silty alluvium and/or loamy alluvium over dense sandy loam till,75,5
625872,loess and/or silty glaciofluvial deposits over loamy glaciofluvial deposits over stratified sandy and gravelly outwash,80,4
625876,sandy till,50,2
625880,loess and/or silty glaciofluvial deposits over densic loamy diamicton over stratified sandy and gravelly outwash,80,3
626018,colluvium over residuum derived from andesite or tuff breccia,40,2
626019,colluvium over residuum derived from andesite or tuff breccia,40,3
626030,colluvium over residuum derived from andesite or tuff breccia,30,3
626032,colluvium over residuum derived from andesite or tuff breccia,35,4
626033,colluvium over residuum derived from andesite or tuff breccia,55,3
626035,colluvium over residuum derived from andesite or tuff breccia,35,4
626076,clayey till,75,1
627345,loamy glaciofluvial deposits over stratified sandy and gravelly outwash,85,3
627346,silty and loamy glaciofluvial deposits over sandy and gravelly outwash,80,3
627348,loamy glaciofluvial deposits over stratified sandy and gravelly outwash,85,4
627352,sandy outwash,80,1
627367,dense loamy till,55,2
627372,woody organic material and/or herbaceous organic material,45,6
627511,loess and/or silty lacustrine deposits over dense sandy loam till,50,5
627514,highly decomposed organic material that is stratified with thin layers of sandy or loamy material,85,3
627549,loamy alluvium underlain by sandy and gravelly outwash,80,1
627553,silty alluvium and/or loamy alluvium over dense sandy loam till,75,5
627570,loess and/or silty lacustrine deposits over dense sandy loam till,40,3
627587,silty alluvium and/or loamy alluvium over dense sandy loam till,40,5
627638,mostly loamy alluvium or eolian deposits underlain by saandy or sandy and gravelly outwash,80,1
627755,ash flow derived from andesite,85,1
627760,ash flow derived from andesite,90,1
627769,ash flow derived from andesite,60,2
627801,ash flow derived from andesite,50,2
628239,volcanic ash and pumice derived from dacite,60,3
628250,ash flow derived from andesite,45,2
628524,"alluvium derived from limestone, sandstone, and shale",30,3
628566,volcanic ash over complex landslide deposits derived from andesite and/or tuff and/or rhyolite,31,4
631455,residuum weathered from interbedded sedimentary rock,50,2
631476,silty alluvium,85,2
631614,sandy and loamy marine deposits,90,2
631616,loamy marine deposits and/or sandy marine deposits,70,2
631618,sandy and loamy marine deposits,55,1
631619,sandy and loamy marine deposits,66,3
631620,sandy and loamy marine deposits,56,3
631627,sandy marine deposits,70,2
631628,eolian or sandy marine deposits,91,2
631635,sandy and loamy marine deposits,56,1
631637,sandy and loamy fluvial sediments,55,4
632740,loess,97,3
633023,silty and clayey glaciolacustrine deposits,75,1
633071,acid coal extraction mine spoil derived from sandstone and shale,60,4
633757,colluvium derived from quartzite,80,2
633789,colluvium derived from granite and gneiss,55,3
634210,silty and clayey alluvium derived from interbedded sedimentary rock,60,2
634716,colluvium and/or slope alluvium over residuum weathered from sandstone and shale,70,3
635989,sandy and loamy till,35,7
635991,herbaceous and woody organic material more than 51 inches thick,40,3
636478,volcanic ash over colluvium and/or till derived from quartzite,45,4
637271,colluvium over residuum weathered from igneous rock,50,3
637528,residuum weathered from limestone and sandstone,45,3
637785,slope alluvium derived from shale and siltstone,60,2
638586,colluvium derived from igneous rock,50,2
639570,sandy marine deposits,84,3
639572,loamy marine deposits,95,1
639573,clayey marine deposits,95,1
639577,silty  and/or clayey fluviomarine deposits,100,1
639581,clayey marine deposits,97,1
639584,sandy marine deposits,95,1
639585,loamy fluviomarine deposits,100,1
639587,loamy fluviomarine deposits,100,1
639591,sandy marine deposits,100,1
639592,sandy fluviomarine deposits,85,3
639593,sandy marine deposits,95,1
639597,clayey marine deposits,95,1
639598,loamy marine deposits,95,1
639637,colluvium over residuum weathered from siltstone,50,2
640058,alluvium and/or colluvium derived from limestone,65,2
640568,loamy alluvium derived from sedimentary rock,35,2
640577,sandy marine deposits over clayey marine deposits,100,1
640578,organic material,90,3
640597,sandy marine deposits,85,1
640599,organic material,51,2
640600,sandy marine deposits,90,1
640604,herbaceous organic material,80,5
640606,"sandy, loamy, and clayey marine deposits",100,1
640649,volcanic ash over alluvium derived from granite,35,4
641350,residuum weathered from quartzite and/or residuum weathered from orthoquartzite,93,3
641550,residuum weathered from phyllite,85,4
642014,alluvium derived from limestone and shale,85,2
642022,local colluvium derived from igneous and metamorphic rock,85,2
642040,residuum weathered from granite and gneiss,44,1
642050,residuum weathered from greenstone,75,1
642081,residuum weathered from granulite and/or residuum weathered from hornfels,50,3
642085,residuum weathered from granulite and/or residuum weathered from hornfels,55,3
642088,residuum weathered from basalt and/or residuum weathered from diabase,80,2
642130,"colluvium derived from igneous, metamorphic and sedimentary rock",80,1
642148,residuum weathered from calcareous conglomerate,80,1
644439,Wisconsin till derived from limestone and shale,85,2
644775,volcanic ash over loess,60,2
645291,volcanic ash over loess,45,2
645624,residuum weathered from granite,40,3
656081,loess and/or silty glaciofluvial deposits over loamy glaciofluvial deposits over stratified sandy and gravelly outwash,90,2
656526,herbaceous organic material,90,3
657114,volcanic ash over colluvium derived from quartzite,45,2
677875,volcanic ash over loess over colluvium derived from gneiss and/or schist,45,2
691946,loess over pedisediment over residuum weathered from dolomite,50,6
693678,acid alluvium derived from sedimentary rock,85,1
693685,residuum weathered from shale and siltstone and/or fine grained sandstone,85,3
693688,residuum weathered from shale and siltstone and/or fine grained sandstone,85,5
693695,fine-loamy colluvium derived from sandstone and shale,85,4
693712,coarse-silty loess over residuum weathered from sedimentary rock,100,2
693733,colluvium and/or residuum weathered from mica schist,100,2
693748,residuum weathered from acid sandstone,85,4
693754,residuum weathered from greenstone,100,1
693762,loamy colluvium derived from sandstone and siltstone,100,1
693778,residuum weathered from limestone and sandstone,90,1
693920,fine-loamy colluvium derived from sandstone and shale,85,4
693921,fine-loamy colluvium derived from sandstone and shale,90,3
693952,residuum weathered from cherty limestone,100,1
693971,residuum weathered from quartzite and/or conglomerate and/or sandstone,85,3
693973,residuum weathered from acid sandstone,85,4
693974,residuum weathered from acid sandstone,85,3
693983,"red, residuum weathered from shale and siltstone",85,8
693990,loamy colluvium derived from sandstone and siltstone,100,1
693997,"sandstone, siltstone and shale colluvium derived from sedimentary rock",90,1
693999,post glacial alluvium derived from sandstone and shale,95,3
694001,old alluvium derived from sedimentary rock,80,3
694025,acid residuum weathered from sedimentary rock,45,2
694676,Loamy marine sediments,80,1
694717,Loamy marine sediments,40,3
694732,Loamy marine sediments,80,2
694737,Loamy fluvial sediments,80,1
694761,Loamy alluvial sediments,80,2
694772,Loamy alluvial sediments,45,2
695341,"clayey, unconsolidated, fluvial and marine sediments",80,2
695342,"clayey, unconsolidated, fluvial and marine sediments",80,2
695343,"loamy, unconsolidated, fluvial and marine sediments",80,1
695360,"clayey and loamy, unconsolidated marine sediments",80,2
695368,"clayey, unconsolidated, fluvial deposits",80,1
695369,"clayey, unconsolidated, fluvial deposits",80,1
695370,"loamy, unconsolidated, marine deposits",80,2
695373,"loamy, unconsolidated, fluvial and marine deposits",80,1
695377,"loamy, unconsolidated, fluvial and marine deposits",80,1
696115,residuum weathered from sandstone and shale,60,6
697351,loamy colluvium over clayey residuum weathered from shale,48,4
699257,earthflow deposits derived from igneous and sedimentary rock,35,3
699359,colluvium derived from volcanic rock,50,5
699420,residuum weathered from sandstone and shale,45,3
700467,sandy and loamy marine deposits,85,2
700468,sandy marine deposits over loamy marine deposits,85,5
700469,loamy marine deposits derived from sedimentary rock,80,4
700471,Sandy and loamy marine deposits,62,4
700472,sandy marine deposits,55,3
700473,loamy marine deposits,80,2
700476,loamy and clayey fine-loamy marine deposits,90,3
700477,loamy marine deposits,80,5
700487,sandy marine deposits over loamy marine deposits,82,5
700490,eolian deposits or sandy marine deposits,85,3
700491,herbaceous organic material over sandy marine deposits,45,3
700492,clayey marine deposits,85,4
700504,sandy and loamy marine deposits,80,2
700506,sandy and loamy marine deposits,45,3
705256,sandy marine deposits and/or sandy alluvium,85,1
705262,sandy alluvium,80,2
705264,clayey  and/or loamy alluvium,90,4
705274,loamy marine deposits,90,1
705278,loamy marine deposits,90,3
705288,loamy marine deposits and/or sandy marine deposits and/or alluvium,45,2
705290,sandy alluvium,80,1
705291,loamy marine deposits,85,1
705292,loamy marine deposits,83,1
705296,sandy alluvium,95,2
705297,sandy  and/or loamy alluvium,90,4
705298,loamy marine deposits and/or sandy marine deposits and/or alluvium,80,1
705299,loamy marine deposits and/or sandy marine deposits and/or alluvium,80,1
705300,loamy marine deposits and/or sandy marine deposits and/or alluvium,80,1
707837,slope alluvium derived from metamorphic rock,60,4
707840,slope alluvium derived from metamorphic rock,50,2
707841,colluvium derived from metamorphic rock,45,2
707854,colluvium derived from metamorphic rock,85,1
707856,slope alluvium derived from gneiss,60,3
707858,colluvium derived from hornblende gneiss,40,3
707859,colluvium derived from metamorphic rock,65,2
707860,slope alluvium derived from metamorphic rock,55,2
707861,slope alluvium derived from granite and gneiss,50,3
707862,colluvium derived from granite,45,2
707863,slope alluvium derived from granite,45,4
707864,colluvium derived from metamorphic rock,55,2
707865,slope alluvium derived from metamorphic rock,50,3
707866,colluvium derived from metamorphic rock,50,2
707868,colluvium derived from granite,45,2
707871,slope alluvium derived from metamorphic rock,85,2
707874,slope alluvium derived from metamorphic rock,45,3
707875,colluvium and/or residuum weathered from granite and/or schist,40,4
707876,colluvium and/or residuum weathered from granite and/or schist,35,4
707877,slope alluvium and/or residuum weathered from granite,35,3
707879,slope alluvium derived from metamorphic rock,45,3
708035,colluvium derived from metamorphic rock,60,3
708036,colluvium and/or residuum weathered from granite,30,2
708338,colluvium derived from granite,60,3
708342,colluvium derived from sandstone,50,3
708345,colluvium and/or residuum weathered from granite,75,2
708346,slope alluvium and/or residuum weathered from granite,50,1
708348,slope alluvium and/or residuum weathered from granite,85,1
708349,slope alluvium derived from sedimentary rock,50,3
708351,slope alluvium derived from sedimentary rock,50,2
708353,slope alluvium derived from sandstone,85,2
708355,slope alluvium derived from sedimentary rock,55,3
708357,colluvium derived from sedimentary rock,85,2
708361,slide deposits,55,2
708364,slope alluvium derived from sedimentary rock,60,4
708366,alluvium,55,3
708367,colluvium derived from sedimentary rock,40,3
708371,alluvium,60,2
708372,alluvium,50,1
708431,slope alluvium,50,4
708433,till and/or residuum weathered from metamorphic rock,50,2
708434,till and/or residuum weathered from metamorphic rock,55,3
708638,till,85,2
708639,till,80,3
708640,till,80,3
708641,till and/or colluvium,55,2
708642,till,65,3
708643,till,50,3
708644,till,65,3
708646,alluvium,60,2
708649,till and/or colluvium,55,2
708652,slope alluvium and/or colluvium over residuum weathered from igneous and metamorphic rock,70,3
708653,slope alluvium and/or colluvium over residuum weathered from granitoid,40,3
708654,colluvium over residuum weathered from granitoid,50,2
708656,alluvium derived from granitoid and/or limestone and sandstone,60,2
708657,colluvium over residuum weathered from granitoid,60,1
708658,slope alluvium and/or colluvium derived from granitoid,60,2
708661,slope alluvium over residuum weathered from granitoid,80,3
708662,slope alluvium and/or colluvium over residuum weathered from granitoid,60,1
708663,colluvium over residuum weathered from granitoid,55,1
708665,colluvium over residuum weathered from granitoid,45,2
708666,slope alluvium and/or colluvium over residuum weathered from granitoid,50,1
708668,alluvium derived from granitoid and/or limestone and/or sandstone,60,1
708907,colluvium over residuum weathered from granitoid,60,1
709875,loamy glaciofluvial deposits over sandy outwash,90,3
711065,slope alluvium derived from sedimentary rock,40,4
711079,residuum weathered from igneous and sedimentary rock and/or earthflow deposits derived from igneous and sedimentary rock,50,4
713226,alluvium and/or colluvium derived from limestone,60,2
721353,loess,85,2
721360,loess,47,2
721370,loess,90,2
721486,sandy marine deposits,100,1
721488,clayey marine deposits,90,2
721489,clayey marine deposits,90,3
721490,clayey marine deposits,90,2
721493,loamy alluvium,90,1
721500,loamy marine deposits,95,1
721508,loamy marine deposits,90,2
721510,loamy alluvium,85,2
721517,loamy and clayey marine deposits,95,1
721518,loamy and clayey marine deposits,100,1
721523,cretaceous clayey marine deposits,95,1
724322,colluvium over residuum weathered from welded tuff,45,1
727219,"loess or silty alluvium and in densic loamy diamicton, underlain by stratified gravelly and sandy outwash",55,3
733188,gravelly outwash,65,2
736017,loamy fluviomarine deposits,80,3
737687,slope alluvium derived from sandstone and shale,55,2
737740,colluvium and/or slope alluvium derived from shale,85,1
738041,Mixed loess and loamy sediments,85,1
738546,colluvium derived from sandstone,60,1
740134,colluvium derived from sandstone and shale,50,2
740135,slope alluvium and/or colluvium derived from sandstone,75,1
740653,rivers streams ponds,100,1
741625,local silty colluvium,70,2
747154,loess,65,2
747161,fine-silty colluvium,94,2
747163,silty alluvium,85,2
747839,residuum weathered from igneous and metamorphic rock,100,1
747840,residuum weathered from igneous and metamorphic rock,96,1
747841,residuum weathered from igneous and metamorphic rock,95,1
747846,fine-loamy alluvium,95,1
747849,clayey residuum weathered from igneous and metamorphic rock,75,2
747854,clayey residuum weathered from igneous and metamorphic rock,100,1
747855,clayey residuum weathered from igneous and metamorphic rock,100,1
747861,clayey residuum weathered from igneous and metamorphic rock,100,1
747895,alluvium,100,1
747916,loamy marine deposits,100,1
747930,coarse-loamy alluvium,100,1
747937,loamy marine deposits,100,1
747938,loamy marine deposits,100,1
747943,loamy marine deposits,70,2
747944,loamy marine deposits,65,2
749223,colluvium and/or slope alluvium derived from calcareous sandstone and/or calcareous shale,40,5
749363,fine-loamy alluvium derived from sedimentary rock,85,1
749365,fine-loamy alluvium derived from sandstone and siltstone,85,2
749369,fine-loamy residuum weathered from sandstone and shale,45,2
749371,nonacid residuum weathered from shale and siltstone,41,2
749372,nonacid residuum weathered from shale and siltstone,40,2
749409,loamy alluvium,75,1
749421,clayey alluvium,90,1
750481,"colluvium and/or slope alluvium derived from limestone, sandstone, and shale",40,3
751960,thin mantle of loamy alluvium and sandy alluvium underlain by sandy till or sandy mudflow sediments,35,4
753530,loess over sandy and gravelly outwash,90,3
753532,glacial till,60,4
753574,loess over glacial loamy till,90,1
754243,marine deposits,80,1
754245,sandy and loamy fluviomarine deposits,90,1
754247,clayey marine deposits,85,1
754251,marine deposits,80,1
754258,marine deposits,80,2
754261,eolian or sandy marine deposits,90,1
754266,marine deposits,40,1
754267,marine deposits,40,1
754273,marine deposits,80,1
754277,marine deposits,80,1
754433,colluvium derived from igneous and metamorphic rock,55,3
754434,colluvium derived from granite,55,2
756351,rivers streams ponds,100,1
756728,sandy and loamy marine deposits,80,2
756730,sandy marine deposits,70,2
757746,colluvium derived from quartzite,50,3
757991,colluvium derived from sedimentary rock over till derived from sedimentary rock,80,1
757995,colluvium derived from sedimentary rock over residuum weathered from sedimentary rock,50,2
757996,colluvium derived from sedimentary rock over residuum weathered from sedimentary rock,35,2
758272,"colluvium derived from limestone, sandstone, and shale",80,1
758280,"colluvium derived from limestone, sandstone, and shale",45,2
758285,alluvium derived from sedimentary rock,80,2
758304,colluvium derived from sandstone,80,1
758318,till derived from sandstone and shale,45,3
758320,till derived from sandstone and shale,45,3
758322,till derived from sandstone and shale,40,3
758324,till derived from sandstone and shale,35,2
758327,till derived from sandstone and shale,45,2
758332,"colluvium derived from limestone, sandstone, and shale and/or slope alluvium derived from limestone, sandstone, and shale",55,3
758335,glaciolacustrine deposits derived from sandstone and shale,25,1
758337,till derived from sandstone and shale,25,3
758338,till derived from sandstone and shale,30,2
758339,till derived from sandstone and shale,30,2
762733,clayey marine deposits,40,4
762757,clayey marine deposits derived from clayey shale,90,1
762760,unconsolidated sandy and loamy fluviomarine deposits derived from sedimentary rock,40,4
762955,"alluvium derived from igneous, metamorphic and sedimentary rock",85,1
762957,residuum weathered from igneous and metamorphic rock,60,1
762958,residuum and/or slope alluvium derived from igneous and metamorphic rock,40,2
762959,colluvium and/or residuum derived from igneous and metamorphic rock,55,2
762961,colluvium and/or residuum derived from igneous and metamorphic rock,50,2
762962,residuum and/or slope alluvium derived from igneous and metamorphic rock,50,1
762965,residuum and/or slope alluvium derived from igneous and metamorphic rock,30,4
762966,residuum weathered from siltstone or mudstone,90,1
762972,colluvium and/or residuum derived from sedimentary rock,85,1
762980,colluvium and/or residuum derived from igneous and metamorphic rock,50,3
762982,residuum and/or slope alluvium derived from granite,70,2
762983,residuum weathered from igneous and metamorphic rock,40,3
762984,colluvium and/or residuum derived from granite,85,1
762986,glacial till and/or alluvium derived from igneous and metamorphic rock,85,1
762987,glacial till and/or alluvium derived from igneous and metamorphic rock,85,1
762988,colluvium and/or residuum derived from sandstone,50,2
762989,residuum and/or slope alluvium derived from sandstone,50,2
762990,residuum weathered from mudstone,50,2
762991,residuum and/or slope alluvium derived from igneous and metamorphic rock,85,1
762992,residuum and/or slope alluvium derived from igneous and metamorphic rock,85,1
762993,residuum and/or slope alluvium derived from igneous and metamorphic rock,85,1
762994,colluvium and/or residuum derived from sandstone,45,2
762995,residuum and/or slope alluvium derived from igneous and metamorphic rock,50,1
762997,residuum and/or slope alluvium derived from igneous and metamorphic rock,60,1
762999,colluvium and/or residuum weathered from granite,60,2
763001,residuum and/or slope alluvium derived from igneous and metamorphic rock,45,2
763002,residuum weathered from igneous and metamorphic rock,40,2
763004,glaciofluvial deposits and/or residuum derived from igneous and metamorphic rock,60,2
763006,residuum weathered from igneous and metamorphic rock,50,2
763008,residuum weathered from igneous and metamorphic rock,50,2
763015,talus derived from igneous and metamorphic rock,90,1
763018,"colluvium and/or residuum derived from igneous, metamorphic and sedimentary rock",90,1
764970,loamy material over dense loamy till,65,3
766065,residuum weathered from limestone and shale,50,6
766490,"gravelly alluvium and glaciofluvial deposits derived from igneous, metamorphic and sedimentary rock",50,2
766495,glacial till and/or alluvium derived from igneous and metamorphic rock,60,2
766496,"gravelly glaciofluvial deposits and/or gravelly till derived from igneous, metamorphic and sedimentary rock",50,2
766497,"gravelly alluvium and/or gravelly glaciofluvial deposits derived from igneous, metamorphic and sedimentary rock",60,2
766498,"gravelly alluvium and/or gravelly glaciofluvial deposits derived from igneous, metamorphic and sedimentary rock",60,1
766672,colluvium and/or slope alluvium derived from igneous and metamorphic rock,55,2
768927,colluvium and/or residuum derived from igneous and metamorphic rock,55,2
768928,residuum weathered from igneous and metamorphic rock,40,2
775579,volcanic ash over mixed colluvium,75,1
775585,volcanic ash over mixed colluvium,75,2
775586,volcanic ash over mixed colluvium,85,1
776623,loess and/or re-worked loess,80,1
776632,volcanic ash over colluvium derived from granite and/or gneiss,50,1
776645,volcanic ash over colluvium derived from quartzite,65,3
776647,volcanic ash over colluvium derived from gneiss and/or schist and/or anorthosite,50,2
776660,volcanic ash over loess,60,1
776670,volcanic ash over loess over colluvium derived from gneiss and/or schist,65,1
777367,volcanic ash over loess,55,1
777418,volcanic ash over colluvium derived from granite and/or gneiss,60,2
779344,till derived from mixed rock sources,85,3
779355,colluvium derived from andesite or tuff breccia,55,5
779365,colluvium and residuum derived from metamorphic rocks,40,4
779369,till derived from mixed rock sources,30,3
779435,glacial till,90,1
779436,colluvium,90,1
779439,colluvium,90,1
779442,colluvium derived from limestone and/or residuum weathered from limestone,55,1
779444,colluvium derived from granite and/or residuum weathered from granite,60,1
779449,colluvium derived from limestone and/or residuum weathered from limestone,45,1
779452,colluvium derived from limestone and/or residuum weathered from limestone,40,1
779453,colluvium derived from metasedimentary rock and/or residuum weathered from metasedimentary rock,50,1
779454,colluvium derived from granite and/or residuum weathered from granite,85,1
779456,colluvium derived from granite and/or residuum weathered from granite,65,2
779458,colluvium derived from metasedimentary rock and/or residuum weathered from metasedimentary rock,85,1
779461,colluvium derived from metasedimentary rock and/or residuum weathered from metasedimentary rock,85,1
779462,colluvium derived from limestone and/or residuum weathered from limestone,45,1
779463,colluvium derived from metasedimentary rock and/or residuum weathered from metasedimentary rock,85,1
779464,colluvium derived from granite and/or residuum weathered from granite,100,1
779465,colluvium derived from basalt and/or residuum weathered from basalt,55,1
779468,colluvium derived from metasedimentary rock and/or residuum weathered from metasedimentary rock,55,1
779470,colluvium derived from metasedimentary rock and/or residuum weathered from metasedimentary rock,65,1
779476,colluvium derived from basalt and/or residuum weathered from basalt,65,1
779482,colluvium derived from granite and/or residuum weathered from granite,80,1
779483,colluvium derived from granite and/or residuum weathered from granite,90,1
