mukey,pm_dom,comppct_dom,n_pm
57287,eolian deposits and slope alluvium over residuum weathered from basalt,50,2
57291,eolian deposits over fan alluvium derived from sandstone,50,1
57298,slope alluvium over residuum weathered from basalt,50,1
57421,eolian deposits derived from sandstone and siltstone,90,1
57462,colluvium derived from sandstone,50,2
57463,colluvium derived from sandstone,50,2
57464,slope alluvium derived from sandstone and shale,55,2
57467,colluvium derived from sandstone over residuum weathered from quartz-diorite,40,1
57468,eolian deposits and alluvium derived from sandstone and siltstone over residuum weathered from quartz-diorite,50,2
57469,alluvium over residuum weathered from sandstone,75,2
57473,colluvium over residuum weathered from sandstone,45,2
57474,slope alluvium over residuum weathered from sandstone,55,1
57499,alluvium derived from sandstone and shale,50,1
57508,slope alluvium derived from sandstone and shale,60,2
57519,residuum weathered from sandstone and shale and/or slope alluvium derived from sandstone and shale,45,2
57529,alluvium derived from sandstone and shale,65,1
57530,slope alluvium derived from sandstone and shale over residuum weathered from sandstone and shale,45,2
57533,colluvium derived from sandstone and shale,55,2
57568,colluvium and/or slope alluvium over residuum weathered from sandstone and shale,35,3
57589,slope alluvium over residuum weathered from sandstone and shale,80,2
57988,eolian deposits and slope alluvium derived from sandstone and shale and/or eolian deposits and residuum weathered from sandstone and shale,50,2
57989,slope alluvium derived from sandstone and/or eolian deposits and slope alluvium derived from sandstone and shale and/or slope alluvium and residuum weathered from sandstone,35,3
57994,slope alluvium derived from sandstone,25,1
57996,fan alluvium derived from sandstone and shale and/or stream alluvium derived from sandstone and shale,50,2
58074,eolian material and slope alluvium derived from sandstone and shale,50,2
58078,slope alluvium and residuum weathered from sandstone,75,2
58080,slope alluvium and residuum weathered from sandstone,45,2
58082,slope alluvium derived from sandstone and shale,50,2
58098,Eolian deposits and slope alluvium derived from sandstone and shale and/or Eolian deposits over residuum weathered from sandstone and shale,45,2
58102,eolian deposits and slope alluvium derived from sandstone and shale,40,3
58103,eolian deposits and slope alluvium derived from sandstone and shale,45,2
58104,eolian deposits and residuum weathered from sandstone and shale and/or eolian deposits and slope alluvium over residuum weathered from sandstone,40,2
58290,slope alluvium derived from sandstone and/or loess,45,1
58291,alluvium derived from sandstone and shale,85,1
58304,glacial till and/or colluvium and/or alluvium derived from sandstone and shale,55,1
58312,"stratified, calcareous alluvium",75,1
58331,alluvium derived from red sandstone and shale,85,1
58333,colluvium over residuum weathered from sandstone and shale,45,3
58335,slope alluvium and/or residuum weathered from sandstone,45,1
59323,"mixed alluvium and/or colluvium derived from igneous, metamorphic and sedimentary rock",30,1
59765,Navajo sandstone,40,4
61121,loess mixed with colluvium derived from basalt,50,1
61289,volcanic ash mixed with loess over colluvium from tuffaceous material,85,1
61298,loess and volcanic ash mixed with colluvium from basalt,65,1
61299,loess and volcanic ash mixed with colluvium from basalt,40,1
61301,loess and volcanic ash mixed with colluvium from basalt,70,1
61305,colluvium and residuum derived from granodiorite mixed with loess and volcanic ash in the upper part,83,1
61379,loess over colluvium and residuum derived from basalt,50,2
